,Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount,Hotel,Date
904,Dairy Products,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-01
905,Dairy Products,320,Wedding,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-01
906,Dairy Products,342,Social Gathering,405,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,29,hotel-2,2017-05-01
907,Dairy Products,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-01
908,Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,hotel-2,2017-05-01
909,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-01
910,Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,hotel-2,2017-05-02
911,Baked Goods,400,Wedding,500,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-02
912,Vegetables,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-02
913,Vegetables,429,Social Gathering,496,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,42,hotel-2,2017-05-02
914,Baked Goods,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25,hotel-2,2017-05-02
915,Baked Goods,250,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-03
916,Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-03
917,Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,20,hotel-2,2017-05-03
918,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-03
919,Dairy Products,320,Social Gathering,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,hotel-2,2017-05-03
920,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-03
921,Dairy Products,380,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,25,hotel-2,2017-05-03
922,Baked Goods,320,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-03
923,Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-03
924,Dairy Products,397,Social Gathering,482,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,31,hotel-2,2017-05-03
925,Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,hotel-2,2017-05-04
926,Baked Goods,350,Birthday,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-04
927,Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-04
928,Meat,488,Wedding,498,Refrigerated,Regular,Winter,Finger Food,Rural,High,63,hotel-2,2017-05-04
929,Meat,320,Corporate,400,Refrigerated,Regular,Summer,Buffet,Urban,Moderate,25,hotel-2,2017-05-04
930,Meat,302,Birthday,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27,hotel-2,2017-05-04
931,Meat,300,Wedding,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,35,hotel-2,2017-05-05
932,Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-05
933,Vegetables,280,Wedding,350,Refrigerated,Regular,Summer,Finger Food,Urban,Low,20,hotel-2,2017-05-05
934,Meat,300,Wedding,450,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,35,hotel-2,2017-05-05
935,Fruits,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40,hotel-2,2017-05-05
936,Fruits,350,Birthday,450,Refrigerated,Regular,Winter,Finger Food,Suburban,High,30,hotel-2,2017-05-05
937,Meat,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20,hotel-2,2017-05-05
938,Meat,350,Corporate,450,Refrigerated,Occasional,Summer,Finger Food,Suburban,High,30,hotel-2,2017-05-06
939,Baked Goods,367,Birthday,420,Room Temperature,Regular,Winter,Buffet,Suburban,Low,40,hotel-2,2017-05-06
940,Meat,300,Wedding,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25,hotel-2,2017-05-06
941,Meat,300,Wedding,400,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-06
942,Fruits,280,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,Low,25,hotel-2,2017-05-06
943,Fruits,320,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,40,hotel-2,2017-05-07
944,Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,35,hotel-2,2017-05-07
945,Meat,250,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,25,hotel-2,2017-05-07
946,Vegetables,207,Birthday,280,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,20,hotel-2,2017-05-07
947,Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,35,hotel-2,2017-05-07
948,Meat,250,Corporate,350,Room Temperature,Occasional,Winter,Finger Food,Suburban,High,35,hotel-2,2017-05-07
949,Fruits,350,Birthday,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,45,hotel-2,2017-05-07
950,Fruits,438,Wedding,493,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,35,hotel-2,2017-05-08
951,Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,hotel-2,2017-05-08
952,Meat,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,High,35,hotel-2,2017-05-08
953,Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,hotel-2,2017-05-08
954,Baked Goods,320,Wedding,400,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,25,hotel-2,2017-05-08
955,Fruits,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,hotel-2,2017-05-08
956,Meat,453,Social Gathering,484,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,54,hotel-2,2017-05-08
957,Baked Goods,350,Birthday,450,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-08
958,Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,45,hotel-2,2017-05-08
959,Meat,400,Corporate,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50,hotel-2,2017-05-08
960,Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,High,30,hotel-2,2017-05-09
961,Dairy Products,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,36,hotel-2,2017-05-09
962,Fruits,280,Birthday,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,25,hotel-2,2017-05-09
963,Baked Goods,400,Social Gathering,450,Room Temperature,Regular,Summer,Buffet,Urban,Moderate,30,hotel-2,2017-05-09
964,Baked Goods,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,hotel-2,2017-05-09
965,Meat,350,Wedding,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-09
966,Fruits,453,Birthday,484,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,54,hotel-2,2017-05-09
967,Dairy Products,453,Corporate,484,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,54,hotel-2,2017-05-10
968,Dairy Products,240,Wedding,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-10
969,Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-10
970,Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-10
971,Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-10
972,Meat,367,Birthday,420,Room Temperature,Regular,Summer,Buffet,Urban,Low,40,hotel-2,2017-05-10
973,Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Urban,Low,15,hotel-2,2017-05-10
974,Fruits,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,20,hotel-2,2017-05-10
975,Fruits,491,Birthday,497,Refrigerated,Regular,Winter,Finger Food,Urban,High,32,hotel-2,2017-05-10
976,Baked Goods,434,Wedding,495,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,36,hotel-2,2017-05-11
977,Vegetables,230,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,30,hotel-2,2017-05-11
978,Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-11
979,Dairy Products,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-11
980,Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,hotel-2,2017-05-11
981,Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,hotel-2,2017-05-12
982,Dairy Products,310,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,High,35,hotel-2,2017-05-12
983,Baked Goods,280,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-12
984,Dairy Products,320,Wedding,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-12
985,Baked Goods,260,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-12
986,Meat,400,Birthday,450,Refrigerated,Occasional,Winter,Buffet,Urban,Moderate,30,hotel-2,2017-05-12
987,Meat,220,Wedding,300,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,15,hotel-2,2017-05-13
988,Meat,275,Corporate,388,Refrigerated,Regular,All Seasons,Finger Food,Rural,Low,16,hotel-2,2017-05-13
989,Meat,320,Corporate,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-13
990,Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,hotel-2,2017-05-13
991,Dairy Products,400,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-13
992,Dairy Products,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,hotel-2,2017-05-14
993,Vegetables,300,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-14
994,Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-14
995,Dairy Products,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Low,15,hotel-2,2017-05-14
996,Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,hotel-2,2017-05-14
997,Baked Goods,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50,hotel-2,2017-05-14
998,Baked Goods,220,Social Gathering,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,hotel-2,2017-05-14
999,Fruits,453,Wedding,484,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,54,hotel-2,2017-05-14
1000,Meat,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,50,hotel-2,2017-05-14
1001,Fruits,250,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Suburban,High,30,hotel-2,2017-05-15
1002,Vegetables,350,Corporate,450,Room Temperature,Regular,Winter,Buffet,Urban,High,40,hotel-2,2017-05-15
1003,Meat,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,hotel-2,2017-05-15
1004,Meat,380,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-15
1005,Meat,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,hotel-2,2017-05-15
1006,Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,15,hotel-2,2017-05-15
1007,Baked Goods,488,Wedding,498,Room Temperature,Regular,Winter,Finger Food,Rural,High,63,hotel-2,2017-05-15
1008,Meat,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,50,hotel-2,2017-05-15
1009,Baked Goods,491,Birthday,497,Room Temperature,Regular,Summer,Finger Food,Urban,High,32,hotel-2,2017-05-15
1010,Fruits,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-15
1011,Meat,261,Birthday,350,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,23,hotel-2,2017-05-16
1012,Vegetables,434,Wedding,495,Refrigerated,Regular,All Seasons,Sit-down Dinner,Rural,Low,36,hotel-2,2017-05-16
1013,Fruits,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,30,hotel-2,2017-05-16
1014,Vegetables,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-16
1015,Baked Goods,380,Birthday,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,hotel-2,2017-05-16
1016,Fruits,400,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-16
1017,Baked Goods,247,Wedding,348,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,16,hotel-2,2017-05-16
1018,Dairy Products,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25,hotel-2,2017-05-17
1019,Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-17
1020,Baked Goods,207,Wedding,280,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,20,hotel-2,2017-05-17
1021,Baked Goods,280,Corporate,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,hotel-2,2017-05-17
1022,Baked Goods,400,Corporate,500,Room Temperature,Occasional,Winter,Finger Food,Urban,High,40,hotel-2,2017-05-17
1023,Dairy Products,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,hotel-2,2017-05-17
1024,Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-18
1025,Baked Goods,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-18
1026,Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-18
1027,Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Moderate,25,hotel-2,2017-05-18
1028,Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,hotel-2,2017-05-18
1029,Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,hotel-2,2017-05-18
1030,Dairy Products,230,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-18
1031,Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-18
1032,Fruits,261,Corporate,350,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,23,hotel-2,2017-05-18
1033,Baked Goods,247,Corporate,348,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,16,hotel-2,2017-05-18
1034,Baked Goods,380,Corporate,480,Room Temperature,Regular,All Seasons,Buffet,Suburban,Moderate,30,hotel-2,2017-05-19
1035,Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-19
1036,Dairy Products,300,Birthday,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-19
1037,Baked Goods,380,Social Gathering,480,Room Temperature,Regular,Winter,Buffet,Suburban,Moderate,30,hotel-2,2017-05-19
1038,Fruits,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-19
1039,Vegetables,300,Social Gathering,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-19
1040,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,20,hotel-2,2017-05-19
1041,Dairy Products,300,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,hotel-2,2017-05-20
1042,Baked Goods,320,Wedding,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-20
1043,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,hotel-2,2017-05-20
1044,Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,hotel-2,2017-05-20
1045,Baked Goods,208,Corporate,282,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,22,hotel-2,2017-05-20
1046,Baked Goods,320,Wedding,400,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-20
1047,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-21
1048,Dairy Products,240,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,hotel-2,2017-05-21
1049,Meat,250,Corporate,500,Refrigerated,Regular,Summer,Buffet,Urban,High,40,hotel-2,2017-05-21
1050,Meat,430,Corporate,477,Room Temperature,Regular,Winter,Buffet,Urban,Low,29,hotel-2,2017-05-21
1051,Fruits,350,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-21
1052,Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-21
1053,Dairy Products,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,hotel-2,2017-05-22
1054,Baked Goods,280,Social Gathering,480,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15,hotel-2,2017-05-22
1055,Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-22
1056,Dairy Products,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,25,hotel-2,2017-05-22
1057,Fruits,320,Wedding,400,Refrigerated,Regular,Summer,Buffet,Rural,High,35,hotel-2,2017-05-22
1058,Meat,300,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15,hotel-2,2017-05-22
1059,Meat,380,Wedding,480,Refrigerated,Occasional,Winter,Buffet,Suburban,Moderate,30,hotel-2,2017-05-22
1060,Meat,300,Corporate,400,Refrigerated,Occasional,Winter,Finger Food,Suburban,Low,20,hotel-2,2017-05-22
1061,Meat,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,hotel-2,2017-05-23
1062,Fruits,380,Corporate,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35,hotel-2,2017-05-23
1063,Meat,280,Corporate,350,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25,hotel-2,2017-05-23
1064,Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45,hotel-2,2017-05-23
1065,Meat,320,Wedding,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,35,hotel-2,2017-05-23
1066,Meat,380,Corporate,480,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,30,hotel-2,2017-05-23
1067,Meat,250,Corporate,350,Refrigerated,Regular,Winter,Finger Food,Urban,High,30,hotel-2,2017-05-23
1068,Meat,280,Wedding,350,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,20,hotel-2,2017-05-23
1069,Meat,429,Birthday,496,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,42,hotel-2,2017-05-23
1070,Dairy Products,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,hotel-2,2017-05-23
1071,Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,50,hotel-2,2017-05-24
1072,Fruits,400,Wedding,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,hotel-2,2017-05-24
1073,Meat,208,Corporate,282,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,22,hotel-2,2017-05-24
1074,Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,hotel-2,2017-05-24
1075,Vegetables,350,Wedding,450,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20,hotel-2,2017-05-24
1076,Vegetables,280,Corporate,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,25,hotel-2,2017-05-25
1077,Meat,350,Wedding,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-25
1078,Fruits,300,Wedding,450,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35,hotel-2,2017-05-25
1079,Fruits,275,Wedding,388,Room Temperature,Regular,Winter,Finger Food,Rural,Low,16,hotel-2,2017-05-25
1080,Fruits,220,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Rural,Low,20,hotel-2,2017-05-25
1081,Baked Goods,400,Wedding,500,Room Temperature,Regular,Summer,Buffet,Rural,High,30,hotel-2,2017-05-25
1082,Vegetables,302,Social Gathering,371,Refrigerated,Regular,Winter,Buffet,Suburban,Low,27,hotel-2,2017-05-25
1083,Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Buffet,Urban,High,45,hotel-2,2017-05-26
1084,Meat,397,Wedding,482,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,31,hotel-2,2017-05-26
1085,Vegetables,320,Social Gathering,400,Refrigerated,Regular,All Seasons,Buffet,Rural,High,30,hotel-2,2017-05-26
1086,Meat,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,15,hotel-2,2017-05-26
1087,Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,hotel-2,2017-05-26
1088,Fruits,300,Wedding,400,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Low,20,hotel-2,2017-05-27
1089,Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,15,hotel-2,2017-05-27
1090,Meat,230,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,30,hotel-2,2017-05-27
1091,Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-27
1092,Meat,280,Wedding,350,Refrigerated,Occasional,All Seasons,Finger Food,Rural,Low,20,hotel-2,2017-05-27
1093,Fruits,280,Wedding,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Low,20,hotel-2,2017-05-27
1094,Meat,320,Wedding,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-27
1095,Meat,300,Birthday,400,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,hotel-2,2017-05-27
1096,Fruits,280,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,hotel-2,2017-05-27
1097,Meat,400,Birthday,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,45,hotel-2,2017-05-27
1098,Meat,250,Social Gathering,350,Refrigerated,Regular,Summer,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-28
1099,Baked Goods,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,hotel-2,2017-05-28
1100,Baked Goods,342,Corporate,405,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,29,hotel-2,2017-05-28
1101,Vegetables,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Moderate,25,hotel-2,2017-05-28
1102,Fruits,250,Wedding,350,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,hotel-2,2017-05-28
1103,Baked Goods,320,Birthday,480,Room Temperature,Regular,Summer,Buffet,Suburban,High,40,hotel-2,2017-05-28
1104,Vegetables,320,Corporate,400,Room Temperature,Regular,Winter,Buffet,Urban,Moderate,25,hotel-2,2017-05-28
1105,Fruits,400,Birthday,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,50,hotel-2,2017-05-28
1106,Fruits,320,Corporate,400,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,hotel-2,2017-05-29
1107,Meat,250,Social Gathering,480,Room Temperature,Regular,Winter,Finger Food,Rural,Low,20,hotel-2,2017-05-29
1108,Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20,hotel-2,2017-05-29
1109,Vegetables,400,Corporate,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,45,hotel-2,2017-05-29
1110,Meat,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20,hotel-2,2017-05-29
1111,Vegetables,434,Wedding,495,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,36,hotel-2,2017-05-29
1112,Vegetables,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,hotel-2,2017-05-29
1113,Vegetables,400,Birthday,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,hotel-2,2017-05-29
1114,Baked Goods,280,Wedding,350,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,15,hotel-2,2017-05-29
1115,Fruits,250,Social Gathering,350,Refrigerated,Regular,All Seasons,Buffet,Suburban,Moderate,20,hotel-2,2017-05-30
1116,Baked Goods,300,Wedding,400,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,hotel-2,2017-05-30
1117,Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,hotel-2,2017-05-30
1118,Baked Goods,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-30
1119,Vegetables,300,Wedding,400,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25,hotel-2,2017-05-30
